CP;INSEE;Nom min;Nom Maj
14100;14419;Le Mesnil-Eudes;LE MESNIL EUDES
14100;14421;Le Mesnil-Guillaume;LE MESNIL GUILLAUME
14380;14424;Le Mesnil-Robert;LE MESNIL-ROBERT
14140;14425;Le Mesnil-Simon;LE MESNIL SIMON
14130;14426;Le Mesnil-sur-Blangy;MESNIL-SUR-BLANGY (LE)
14690;14427;Le Mesnil-Villement;MESNIL-VILLEMENT (LE)
14960;14430;Meuvaines;MEUVAINES
14270;14431;Mézidon Vallée d'Auge;MEZIDON VALLEE D'AUGE
14140;14431;Mézidon Vallée d'Auge;MEZIDON VALLEE D'AUGE
14340;14431;Mézidon Vallée d'Auge;MEZIDON VALLEE D'AUGE
14370;14431;Mézidon Vallée d'Auge;MEZIDON VALLEE D'AUGE
14100;14435;Les Monceaux;LES MONCEAUX
14400;14436;Monceaux-en-Bessin;MONCEAUX-EN-BESSIN
14120;14437;Mondeville;MONDEVILLE
14210;14438;Mondrainville;MONDRAINVILLE
14230;14439;Monfréville;MONFREVILLE
14490;14445;Montfiquet;MONTFIQUET
14210;14446;Montigny;MONTIGNY
14340;14448;Montreuil-en-Auge;MONTREUIL-EN-AUGE
14310;14449;Monts-en-Bessin;MONTS-EN-BESSIN
14620;14452;Morteaux-Coulibœuf;MORTEAUX-COULIBOEUF
14400;14453;Mosles;MOSLES
14790;14454;Mouen;MOUEN
14220;14455;Moulines;MOULINES
14370;14456;Moult-Chicheboville;MOULT-CHICHEBOVILLE
14620;14457;Les Moutiers-en-Auge;MOUTIERS-EN-AUGE (LES)
14220;14458;Les Moutiers-en-Cinglais;MOUTIERS-EN-CINGLAIS (LES)
14590;14460;Moyaux;MOYAUX
14220;14461;Mutrécy;MUTRECY
14400;14465;Nonant;NONANT
14100;14466;Norolles;NOROLLES
14700;14467;Noron-l'Abbaye;NORON-L ABBAYE
14490;14468;Noron-la-Poterie;NORON-LA-POTERIE
14620;14469;Norrey-en-Auge;NORREY-EN-AUGE
14340;14473;Notre-Dame-de-Livaye;NOTRE-DAME-DE-LIVAYE
14340;14474;Notre-Dame-d'Estrées-Corbon;NOTRE-DAME-D ESTREES-CORBON
14210;14475;Val d'Arry;VAL D'ARRY
14310;14475;Val d'Arry;VAL D'ARRY
14170;14476;Olendon;OLENDON
14290;14478;Orbec;ORBEC
14230;14480;Osmanville;OSMANVILLE
14270;14482;Ouézy;OUEZY
14220;14483;Ouffières;OUFFIERES
14590;14484;Ouilly-du-Houley;OUILLY-DU-HOULEY
14190;14486;Ouilly-le-Tesson;OUILLY-LE-TESSON
14100;14487;Ouilly-le-Vicomte;OUILLY-LE-VICOMTE
14150;14488;Ouistreham;OUISTREHAM
14310;14491;Parfouru-sur-Odon;PARFOURU-SUR-ODON
14600;14492;Pennedepie;PENNEDEPIE
14160;14494;Périers-en-Auge;PERIERS-EN-AUGE
14112;14495;Périers-sur-le-Dan;PERIERS-SUR-LE-DAN
14770;14496;Périgny;PERIGNY
14170;14497;Perrières;PERRIERES
14700;14498;Pertheville-Ners;PERTHEVILLE-NERS
14390;14499;Petiville;PETIVILLE
14130;14500;Pierrefitte-en-Auge;PIERREFITTE-EN-AUGE
14690;14501;Pierrefitte-en-Cinglais;PIERREFITTE-EN-CINGLAIS
14690;14502;Pierrepont;PIERREPONT
14590;14504;Le Pin;LE PIN
14490;14506;Planquery;PLANQUERY
14440;14509;Plumetot;PLUMETOT
14690;14510;La Pommeraye;POMMERAYE (LA)
14380;14511;Pont-Bellanger;PONT-BELLANGER
14110;14512;Pontécoulant;PONTECOULANT
14520;14515;Port-en-Bessin-Huppain;PORT-EN-BESSIN HUPPAIN
14420;14516;Potigny;POTIGNY
14210;14519;Préaux-Bocage;PREAUX-BOCAGE
14340;14520;Le Pré-d'Auge;LE PRE D'AUGE
14140;14522;Prêtreville;PRETREVILLE
14430;14524;Putot-en-Auge;PUTOT-EN-AUGE
14270;14527;Belle Vie en Auge;BELLE VIE EN AUGE
14340;14527;Belle Vie en Auge;BELLE VIE EN AUGE
14130;14528;Quetteville;QUETTEVILLE
14400;14529;Ranchy;RANCHY
14860;14530;Ranville;RANVILLE
14690;14531;Rapilly;RAPILLY
14340;14533;Repentigny;REPENTIGNY
14130;14534;Reux;REUX
14470;14535;Reviers;REVIERS
14600;14536;La Rivière-Saint-Sauveur;RIVIERE-SAINT-SAUVEUR (LA)
14100;14540;Rocques;ROCQUES
14340;14541;La Roque-Baignard;ROQUE-BAIGNARD (LA)
14740;14542;Rosel;ROSEL
14980;14543;Rots;ROTS
14740;14543;Rots;ROTS
14190;14546;Rouvres;ROUVRES
